ward,pop00,pop10,popchg,nhwhite00,nhwhite10,nhwhitechg,nhblack00,nhblack10,nhblackchg,nhamind00,nhamind10,nhamindchg,nhasian00,nhasian10,nhasianchg,nhpacific00,nhpacific10,nhpacificchg,nhother00,nhother10,nhotherchg,hisp00,hisp10,hispchg
1,59498,55522,-6.68,20539,30310,47.57,3694,2514,-31.94,133,93,-30.08,1008,2259,124.11,29,24,-17.24,108,136,25.93,32788,19219,-41.38
2,53831,69356,28.84,11369,27477,141.68,35192,27762,-21.11,69,112,62.32,3811,7806,104.83,86,27,-68.6,89,144,61.8,2518,4570,81.49
3,53795,40512,-24.69,2376,3486,46.72,46134,31082,-32.63,100,61,-39.0,1215,1508,24.12,15,6,-60.0,62,39,-37.1,3525,3715,5.39
4,53932,49195,-8.78,7544,8115,7.57,41992,34275,-18.38,70,69,-1.43,2148,3679,71.28,22,6,-72.73,126,133,5.56,1080,1653,53.06
5,55474,46246,-16.63,9130,7862,-13.89,42008,33874,-19.36,73,73,0.0,2331,1966,-15.66,16,6,-62.5,115,99,-13.91,991,1355,36.73
6,57893,49878,-13.84,186,247,32.8,56644,48435,-14.49,58,107,84.48,33,37,12.12,15,8,-46.67,49,43,-12.24,382,476,24.61
7,55962,46529,-16.86,1077,725,-32.68,50728,42489,-16.24,54,103,90.74,64,88,37.5,17,1,-94.12,58,83,43.1,3328,2442,-26.62
8,56500,47677,-15.62,402,273,-32.09,54960,46015,-16.28,55,91,65.45,80,72,-10.0,9,7,-22.22,27,55,103.7,475,645,35.79
9,55039,43530,-20.91,1127,701,-37.8,50730,40190,-20.78,58,68,17.24,38,20,-47.37,11,3,-72.73,56,35,-37.5,2593,2106,-18.78
10,56473,51899,-8.1,15294,9181,-39.97,7986,9461,18.47,127,99,-22.05,123,138,12.2,7,22,214.29,39,25,-35.9,32240,32638,1.23
11,58107,55911,-3.78,23857,18346,-23.1,964,1244,29.05,109,65,-40.37,12615,17112,35.65,10,9,-10.0,37,35,-5.41,19765,18555,-6.12
12,58338,56024,-3.97,7084,4488,-36.65,9173,8755,-4.56,63,56,-11.11,1134,2115,86.51,4,2,-50.0,40,55,37.5,40443,40402,-0.1
13,57408,64065,11.6,30536,14563,-52.31,1315,2433,85.02,53,56,5.66,566,518,-8.48,7,5,-28.57,42,53,26.19,23758,46110,94.08
14,58067,59913,3.18,11850,4973,-58.03,876,1102,25.8,62,45,-27.42,577,1036,79.55,9,5,-44.44,31,41,32.26,43856,52589,19.91
15,56170,47674,-15.13,3648,1489,-59.18,36863,29228,-20.71,59,58,-1.69,219,104,-52.51,8,2,-75.0,52,69,32.69,14607,16403,12.3
16,55772,45920,-17.66,2229,906,-59.35,36281,25756,-29.01,56,83,48.21,74,58,-21.62,2,4,100.0,75,51,-32.0,16635,18784,12.92
17,56139,45902,-18.24,227,193,-14.98,54936,44591,-18.83,68,80,17.65,57,34,-40.35,7,6,-14.29,27,35,29.63,452,603,33.41
18,57158,55593,-2.74,11391,4735,-58.43,37533,36919,-1.64,47,73,55.32,397,239,-39.8,1,1,0.0,66,39,-40.91,6945,13108,88.74
19,55392,52647,-4.96,38367,34608,-9.8,14152,14141,-0.08,49,64,30.61,252,314,24.6,15,12,-20.0,66,55,-16.67,1775,2800,57.75
20,57174,49263,-13.84,1828,2067,13.07,42737,35290,-17.43,58,63,8.62,257,617,140.08,11,3,-72.73,43,39,-9.3,11783,10624,-9.84
21,57892,50845,-12.17,274,161,-41.24,56701,49634,-12.46,53,62,16.98,29,20,-31.03,6,6,0.0,23,24,4.35,395,492,24.56
22,59119,50941,-13.83,1571,947,-39.72,3390,2442,-27.96,32,36,12.5,44,47,6.82,1,0,-100.0,22,76,245.45,53906,47331,-12.2
23,58068,58163,0.16,39289,27337,-30.42,4514,2336,-48.25,51,58,13.73,502,576,14.74,19,5,-73.68,32,48,50.0,12909,27544,113.37
24,57946,49587,-14.43,542,589,8.67,52752,44201,-16.21,63,72,14.29,62,78,25.81,5,2,-60.0,36,34,-5.56,4223,4279,1.33
25,58350,55613,-4.69,7568,10761,42.19,2670,3227,20.86,79,61,-22.78,6221,9218,48.18,12,11,-8.33,53,89,67.92,41114,31545,-23.27
26,59396,50599,-14.81,8381,11928,42.32,7380,6180,-16.26,83,60,-27.71,411,663,61.31,19,9,-52.63,136,76,-44.12,42210,31112,-26.29
27,54419,51261,-5.8,9049,15857,75.23,35468,23999,-32.34,71,81,14.08,516,1902,268.6,38,14,-63.16,80,99,23.75,8621,8606,-0.17
28,57783,48761,-15.61,723,1044,44.4,49697,40823,-17.86,46,73,58.7,97,149,53.61,6,3,-50.0,21,25,19.05,6913,6247,-9.63
29,58158,51206,-11.95,4466,2446,-45.23,41557,33767,-18.75,67,91,35.82,842,613,-27.2,14,9,-35.71,38,18,-52.63,10707,13825,29.12
30,59579,54516,-8.5,15920,10378,-34.81,1526,2050,34.34,48,67,39.58,1058,1095,3.5,14,11,-21.43,108,109,0.93,39385,40420,2.63
31,59517,57914,-2.69,14615,8453,-42.16,1093,1493,36.6,71,54,-23.94,1078,905,-16.05,22,6,-72.73,61,126,106.56,41512,46580,12.21
32,59456,63515,6.83,43843,50955,16.22,1897,1710,-9.86,139,72,-48.2,1746,2806,60.71,29,13,-55.17,94,112,19.15,10450,6731,-35.59
33,59483,52793,-11.25,16022,16368,2.16,1846,1944,5.31,152,113,-25.66,6215,4489,-27.77,16,14,-12.5,190,155,-18.42,32920,28722,-12.75
34,57932,48245,-16.72,366,242,-33.88,56517,46787,-17.22,62,73,17.74,30,36,20.0,2,9,350.0,36,23,-36.11,518,626,20.85
35,59298,51005,-13.99,14412,16428,13.99,2577,2246,-12.84,139,88,-36.69,1147,1318,14.91,17,20,17.65,96,113,17.71,39422,30146,-23.53
36,59491,60473,1.65,41898,34705,-17.17,2834,3330,17.5,45,51,13.33,1822,2082,14.27,14,6,-57.14,37,78,110.81,11846,19594,65.41
37,58835,51213,-12.95,2339,1127,-51.82,42453,32091,-24.41,30,71,136.67,292,237,-18.84,11,21,90.91,40,51,27.5,13259,17323,30.65
38,59444,58810,-1.07,42252,33332,-21.11,464,825,77.8,92,90,-2.17,2362,2580,9.23,10,13,30.0,62,90,45.16,12636,21137,67.28
39,59327,55809,-5.93,27149,23789,-12.38,1417,1925,35.85,104,124,19.23,11140,9807,-11.97,27,28,3.7,208,168,-19.23,17182,18395,7.06
40,59536,53439,-10.24,26614,26083,-2.0,4229,4553,7.66,168,111,-33.93,11008,8715,-20.83,29,19,-34.48,236,154,-34.75,14772,12522,-15.23
41,59461,60020,0.94,52239,49217,-5.78,586,594,1.37,63,60,-4.76,2367,3124,31.98,18,6,-66.67,24,63,162.5,3488,6147,76.23
42,59515,79216,33.1,45715,57550,25.89,4774,4451,-6.77,72,92,27.78,5274,11080,110.09,40,28,-30.0,90,187,107.78,2602,4294,65.03
43,59522,56746,-4.66,50956,47231,-7.31,3023,2647,-12.44,69,47,-31.88,2349,3121,32.87,21,17,-19.05,116,94,-18.97,2193,2592,18.19
44,59436,58097,-2.25,49354,47953,-2.84,1961,1711,-12.75,64,57,-10.94,3199,3491,9.13,37,26,-29.73,101,78,-22.77,3869,3722,-3.8
45,59498,58117,-2.32,46163,37825,-18.06,263,674,156.27,103,154,49.51,2993,4563,52.46,26,16,-38.46,68,96,41.18,8672,13746,58.51
46,59547,53977,-9.35,29216,30761,5.29,12251,10244,-16.38,217,151,-30.41,5867,4962,-15.43,49,19,-61.22,146,124,-15.07,10142,6607,-34.86
47,59454,56565,-4.86,38215,41762,9.28,1843,1547,-16.06,170,87,-48.82,3752,3173,-15.43,33,19,-42.42,173,136,-21.39,13928,8638,-37.98
48,59454,54186,-8.86,28048,28889,3.0,11708,9145,-21.89,174,128,-26.44,8008,7237,-9.63,63,12,-80.95,223,134,-39.91,9203,7318,-20.48
49,59444,52252,-12.1,18686,19572,4.74,18122,14389,-20.6,165,139,-15.76,3786,3794,0.21,44,35,-20.45,304,208,-31.58,16155,12635,-21.79
50,59534,58458,-1.81,31220,26282,-15.82,3328,5765,73.23,140,155,10.71,13221,13302,0.61,29,1,-96.55,269,175,-34.94,8553,11189,30.82
Chicago,2896016,2695598,-6.92,907166,854717,-5.78,1053739,872286,-17.22,4253,4097,-3.67,124437,144903,16.45,972,557,-42.7,4331,4227,-2.4,753644,778862,3.35
